compania,movieId
netflix,s548
netflix,s3966
hulu,s774
netflix,s1029
amazon,s2089
amazon,s3719
disney,s726
amazon,s3145
amazon,s1653
hulu,s3034
netflix,s6313
amazon,s661
netflix,s3841
netflix,s7570
netflix,s1978
amazon,s9352
amazon,s8324
netflix,s8144
amazon,s3666
netflix,s2656
netflix,s185
amazon,s6519
netflix,s8434
netflix,s6551
amazon,s102
netflix,s6395
hulu,s2385
netflix,s2208
netflix,s6206
netflix,s6069
netflix,s2800
netflix,s6926
hulu,s2698
amazon,s1566
hulu,s1593
netflix,s6252
hulu,s1914
netflix,s5368
amazon,s7559
netflix,s1373
hulu,s2816
netflix,s6802
netflix,s1024
hulu,s1007
hulu,s597
amazon,s5992
netflix,s5594
amazon,s1917
hulu,s784
amazon,s1370
netflix,s1777
netflix,s5686
netflix,s4365
amazon,s5875
hulu,s1291
disney,s602
netflix,s758
amazon,s3149
hulu,s2334
amazon,s3223
disney,s755
amazon,s3317
hulu,s2824
amazon,s9448
hulu,s1614
netflix,s4458
amazon,s4020
amazon,s969
disney,s1435
amazon,s9500
hulu,s2565
netflix,s5867
amazon,s402
amazon,s7932
amazon,s5618
netflix,s8404
hulu,s2153
hulu,s1293
amazon,s9508
amazon,s2359
netflix,s6326
netflix,s733
amazon,s3552
amazon,s9504
netflix,s6968
disney,s116
netflix,s827
disney,s1428
amazon,s6808
netflix,s7008
netflix,s1975
netflix,s1286
netflix,s5298
hulu,s1926
netflix,s7567
amazon,s1257
hulu,s101
netflix,s8147
disney,s1430
amazon,s7948
amazon,s9597
hulu,s1950
netflix,s6203
netflix,s2711
netflix,s5499
amazon,s6226
amazon,s6929
netflix,s4913
netflix,s3869
hulu,s2506
amazon,s1100
amazon,s5951
amazon,s8460
amazon,s7574
amazon,s5083
netflix,s5436
amazon,s693
amazon,s5539
netflix,s6867
netflix,s6832
netflix,s120
netflix,s7284
netflix,s2531
netflix,s5679
hulu,s672
amazon,s1189
amazon,s1401
amazon,s940
hulu,s633
netflix,s3598
amazon,s792
amazon,s6464
netflix,s7518
amazon,s9111
hulu,s627
hulu,s1694
amazon,s9112
amazon,s7311
amazon,s2700
hulu,s44
netflix,s5225
amazon,s3079
disney,s219
amazon,s2637
hulu,s1997
hulu,s685
amazon,s960
netflix,s2899
disney,s1210
netflix,s6972
amazon,s5545
netflix,s4213
amazon,s4870
netflix,s3158
amazon,s1885
amazon,s8032
netflix,s4787
amazon,s5542
netflix,s1252
amazon,s1500
amazon,s1692
amazon,s9217
netflix,s2876
netflix,s365
hulu,s659
disney,s924
hulu,s1063
amazon,s5314
amazon,s5523
disney,s923
amazon,s2658
amazon,s9571
netflix,s2877
amazon,s6474
netflix,s373
amazon,s847
amazon,s4913
amazon,s1754
netflix,s7500
netflix,s2145
netflix,s6003
netflix,s8773
netflix,s8084
hulu,s646
amazon,s7502
amazon,s7513
netflix,s2359
hulu,s2348
amazon,s3313
netflix,s1207
amazon,s2671
amazon,s2678
amazon,s3911
hulu,s251
amazon,s7357
disney,s366
amazon,s4894
netflix,s3171
amazon,s8723
disney,s1201
amazon,s4895
netflix,s2501
hulu,s1079
amazon,s1757
netflix,s936
netflix,s3498
amazon,s5790
netflix,s4202
amazon,s8078
amazon,s5317
netflix,s2714
netflix,s8628
netflix,s3863
disney,s535
hulu,s3005
netflix,s5502
netflix,s7004
netflix,s2902
hulu,s1690
netflix,s5925
netflix,s4185
disney,s175
netflix,s3517
disney,s177
netflix,s4380
netflix,s8390
hulu,s2370
amazon,s7840
hulu,s1654
hulu,s2485
netflix,s3741
amazon,s6322
amazon,s7661
netflix,s6877
amazon,s1220
disney,s182
netflix,s5825
netflix,s5345
netflix,s2664
disney,s185
amazon,s482
netflix,s5491
amazon,s2173
netflix,s1138
disney,s187
amazon,s1385
amazon,s4203
netflix,s5733
amazon,s1084
netflix,s2496
netflix,s2923
amazon,s4789
netflix,s4550
netflix,s3723
netflix,s3113
netflix,s2600
netflix,s8182
amazon,s1884
amazon,s7265
amazon,s4015
amazon,s2754
netflix,s5290
hulu,s2798
amazon,s3570
amazon,s8972
netflix,s6716
netflix,s6517
amazon,s4795
netflix,s5945
hulu,s2224
amazon,s7929
netflix,s463
amazon,s6017
amazon,s7199
hulu,s1651
netflix,s2224
amazon,s7864
hulu,s459
amazon,s1957
hulu,s624
netflix,s2156
amazon,s8197
amazon,s803
netflix,s5562
netflix,s4918
hulu,s1988
amazon,s2711
netflix,s921
amazon,s6493
hulu,s1143
netflix,s3236
amazon,s4086
amazon,s5022
amazon,s443
amazon,s8354
amazon,s1494
amazon,s6
netflix,s180
netflix,s3400
netflix,s8017
disney,s379
hulu,s1135
netflix,s2765
netflix,s1445
netflix,s5431
netflix,s8780
amazon,s1690
netflix,s3992
amazon,s7841
amazon,s7050
amazon,s9208
amazon,s8760
netflix,s6702
netflix,s6845
hulu,s2082
disney,s1175
netflix,s8782
amazon,s8378
disney,s804
amazon,s5897
amazon,s7349
disney,s193
amazon,s5772
netflix,s1456
amazon,s6399
hulu,s1979
netflix,s5260
amazon,s6398
amazon,s4936
netflix,s2158
netflix,s7006
netflix,s7368
amazon,s5565
amazon,s5005
amazon,s2231
amazon,s6397
netflix,s5375
amazon,s7803
netflix,s5764
hulu,s2745
netflix,s5612
amazon,s7161
amazon,s1454
amazon,s4630
netflix,s5309
netflix,s6905
amazon,s3187
amazon,s1345
amazon,s8278
amazon,s2978
amazon,s1300
netflix,s6034
disney,s892
hulu,s268
hulu,s2436
amazon,s7670
amazon,s3188
netflix,s6258
hulu,s3057
netflix,s488
netflix,s3479
amazon,s1343
amazon,s604
amazon,s4684
amazon,s5850
netflix,s2067
hulu,s243
amazon,s3184
amazon,s5671
amazon,s1150
amazon,s4625
hulu,s1866
netflix,s4771
hulu,s929
netflix,s3020
disney,s447
netflix,s2350
hulu,s1424
amazon,s9064
amazon,s3851
netflix,s2175
amazon,s1298
netflix,s7485
netflix,s4851
disney,s693
netflix,s2675
amazon,s8307
amazon,s4277
amazon,s6588
hulu,s367
disney,s694
netflix,s4014
netflix,s4161
disney,s990
netflix,s6598
hulu,s2065
amazon,s5656
netflix,s3039
amazon,s7418
hulu,s1557
amazon,s7419
amazon,s2209
hulu,s585
disney,s692
hulu,s96
amazon,s4649
netflix,s6293
amazon,s3661
amazon,s7889
hulu,s306
amazon,s5459
amazon,s2881
amazon,s2985
hulu,s581
amazon,s4642
amazon,s6937
amazon,s5378
disney,s69
disney,s290
amazon,s6191
netflix,s6749
amazon,s4328
netflix,s3438
netflix,s4979
netflix,s2011
netflix,s6507
netflix,s3367
netflix,s7820
netflix,s4308
netflix,s4165
netflix,s2051
netflix,s6267
amazon,s3525
netflix,s528
disney,s977
amazon,s9659
netflix,s2617
amazon,s2941
hulu,s1512
amazon,s2277
netflix,s5091
hulu,s2549
amazon,s294
netflix,s2653
netflix,s4323
disney,s460
netflix,s2833
amazon,s2944
amazon,s4575
netflix,s2581
amazon,s3165
netflix,s4970
netflix,s183
netflix,s336
hulu,s2567
hulu,s2329
hulu,s2862
hulu,s1505
amazon,s8521
amazon,s1037
amazon,s6440
amazon,s238
hulu,s2622
amazon,s2385
hulu,s2546
amazon,s3870
netflix,s7819
disney,s1326
amazon,s2390
netflix,s590
netflix,s782
disney,s1009
netflix,s2384
hulu,s1463
netflix,s623
amazon,s9058
hulu,s2851
hulu,s2618
hulu,s3042
netflix,s4974
netflix,s2824
hulu,s2852
netflix,s2190
amazon,s291
hulu,s1441
amazon,s4614
netflix,s4760
disney,s1306
amazon,s6253
disney,s450
amazon,s5845
netflix,s7396
netflix,s5696
amazon,s7553
amazon,s7995
netflix,s4061
hulu,s2416
amazon,s890
amazon,s1941
netflix,s298
amazon,s7496
amazon,s6839
disney,s66
netflix,s4583
hulu,s233
netflix,s7480
amazon,s3304
netflix,s1585
netflix,s7616
disney,s1340
netflix,s7943
amazon,s6187
netflix,s2960
hulu,s2963
hulu,s797
netflix,s5139
amazon,s8940
disney,s1155
disney,s711
amazon,s6600
amazon,s3883
amazon,s6264
netflix,s5457
netflix,s7855
hulu,s1365
amazon,s9185
hulu,s975
hulu,s994
netflix,s2201
amazon,s3370
amazon,s9413
netflix,s6995
hulu,s524
amazon,s7672
amazon,s6214
hulu,s2443
amazon,s8631
amazon,s9545
netflix,s4649
amazon,s6165
amazon,s4058
netflix,s5468
amazon,s7056
netflix,s3788
amazon,s1531
amazon,s9030
netflix,s5758
hulu,s1611
netflix,s7068
amazon,s2262
amazon,s937
netflix,s5750
netflix,s1949
netflix,s2104
netflix,s3810
amazon,s5707
netflix,s6528
amazon,s1541
amazon,s7509
netflix,s6148
amazon,s943
amazon,s5320
amazon,s772
amazon,s5946
hulu,s552
netflix,s4104
netflix,s4817
netflix,s5778
amazon,s8819
amazon,s1624
amazon,s3134
netflix,s7954
amazon,s7557
hulu,s3052
amazon,s5173
amazon,s6301
amazon,s8937
netflix,s6068
amazon,s6011
hulu,s1267
netflix,s1302
netflix,s2725
netflix,s4447
amazon,s6154
disney,s85
netflix,s4576
netflix,s7490
netflix,s283
hulu,s89
amazon,s549
hulu,s3049
amazon,s4774
amazon,s3562
amazon,s6098
netflix,s4277
netflix,s7060
hulu,s1775
netflix,s1946
disney,s1098
disney,s205
amazon,s6996
amazon,s4133
netflix,s5386
netflix,s5373
amazon,s4971
hulu,s2405
netflix,s6211
amazon,s3865
amazon,s7347
netflix,s330
netflix,s6264
netflix,s4183
hulu,s1064
netflix,s5050
netflix,s7250
amazon,s4187
amazon,s8023
amazon,s8371
amazon,s2803
amazon,s5997
amazon,s268
netflix,s7371
netflix,s7143
netflix,s1325
amazon,s8126
netflix,s1189
netflix,s7750
amazon,s8485
hulu,s1428
amazon,s2030
netflix,s3116
